Event,X Fixation Data,Y Fixation Data,Timestamp,Valid Left Pupil,Valid Right Pupil,Left Pupil Size,Left Pupil Scale,Right Pupil Size,Right Pupil Scale,Valid Left Gaze,Valid Right Gaze,Left X Gaze,Left Y Gaze,Right X Gaze,Right Y Gaze,Valid Fixation
Data,462.144,730.4256,00:01:15:0866,1,1,29.84557,0.94093,29.09177,0.93200,1,1,0.21007,0.81860,0.28458,0.56675,1
Data,462.9696,730.5984,00:01:15:0873,1,1,29.90826,0.93200,29.17161,0.92308,1,1,0.22255,0.80815,0.29835,0.55925,1
Data,463.7952,730.836,00:01:15:0880,1,1,29.85521,0.92308,29.19703,0.92308,1,1,0.22431,0.81421,0.29835,0.55925,1
Data,464.4672,730.674,00:01:15:0887,1,1,30.02414,0.92308,29.21913,0.93200,1,1,0.24323,0.78324,0.27398,0.55614,1
Data,465.3888,730.0692,00:01:15:0894,1,1,29.97841,0.93200,29.25711,0.94093,1,1,0.21457,0.78954,0.27705,0.54613,1
Data,465.3888,730.0692,00:01:15:0901,1,1,29.97841,0.93200,29.25711,0.94093,1,1,0.21457,0.78954,0.27705,0.54613,1
Data,466.23359999999997,730.566,00:01:15:0908,1,1,29.82512,0.94986,29.23292,0.94986,1,1,0.19455,0.85136,0.26363,0.53492,1
Data,466.7136,731.376,00:01:15:0915,1,1,29.77826,0.94986,29.22532,0.94986,1,1,0.20900,0.83130,0.27516,0.53204,1
Data,467.03999999999996,731.9699999999999,00:01:15:0922,1,1,29.91559,0.95852,29.22566,0.94959,1,1,0.20722,0.82569,0.27524,0.53217,1
Data,466.7328,731.4624,00:01:15:0929,1,1,29.94503,0.95824,29.31737,0.94931,1,1,0.20645,0.78272,0.26969,0.51301,1
Data,466.4064,731.214,00:01:15:0936,1,1,29.82334,0.95797,29.35179,0.94904,1,1,0.21182,0.84565,0.27733,0.51282,1
Data,466.0224,730.8575999999999,00:01:15:0943,1,1,29.97280,0.95769,29.28483,0.94876,1,1,0.21188,0.84582,0.27741,0.51296,1
Data,466.50239999999997,730.1448,00:01:15:0950,1,1,29.92197,0.94876,29.29312,0.94876,1,1,0.23783,0.75936,0.26613,0.55125,1
Data,466.50239999999997,730.1448,00:01:15:0957,1,1,29.92197,0.94876,29.29312,0.94876,1,1,0.23783,0.75936,0.26613,0.55125,1
Data,467.6544,730.0260000000001,00:01:15:0964,1,1,30.10790,0.94011,29.09512,0.94904,1,1,0.23936,0.76559,0.26605,0.55113,1
Data,468.4032,730.0260000000001,00:01:15:0971,1,1,29.79791,0.94038,29.34528,0.94931,1,1,0.21051,0.80455,0.26429,0.53014,1
